sample_id,ipq_value,char_count,word_count,bullet_points,has_description,num_count,uppercase_words,avg_word_length,is_food,is_beverage,is_grocery,is_health,is_personal_care,is_household,ipq_unit,item_name,image_filename,price,log_price,price_per_unit
33127,72.0,91,18,0,0,4,0,4.055555555555555,0,0,1,0,0,0,Fl Oz,"La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6)",51mo8htwTHL.jpg,4.890000000000001,1.7732559976634954,0.06791666666666668
198967,32.0,511,80,5,0,12,0,5.3875,1,0,0,0,0,0,Ounce,"Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4)",71YtriIHAAL.jpg,13.12,2.647592232065096,0.41
261251,11.4,328,59,5,0,11,0,4.559322033898305,1,0,0,0,1,0,Ounce,"Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)",51+PFEe-w-L.jpg,1.97,1.0885619528146082,0.17280701754385963
55858,11.25,1318,211,5,1,10,1,5.246445497630332,1,0,1,0,1,0,Ounce,"Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA",41mu0HAToDL.jpg,30.34,3.444895236927875,2.6968888888888887
292686,12.0,155,28,1,0,8,0,4.535714285714286,0,1,0,0,0,0,Count,"kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.",41sA037+QvL.jpg,66.49,4.211979438755315,5.540833333333333
9259,6.25,222,38,3,0,7,1,4.842105263157895,0,0,0,0,0,0,ounce,"Member's Mark Member's Mark, Basil, 6.25 oz",81nw0HXpCRL.jpg,18.5,2.970414465569701,2.96
191846,180.0,1332,229,5,0,11,13,4.816593886462882,1,0,1,1,0,0,Ounce,"Goya Foods Sazonador Total Seasoning, 30 Ounce (Pack of 6)",61dH2Ebkt0L.jpg,5.99,1.944480556245719,0.03327777777777778
222007,1.0,2289,358,5,1,10,0,5.393854748603352,1,1,0,0,0,0,Count,VineCo Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit,71JllaFpxML.jpg,94.0,4.553876891600541,94.0
37614,192.0,93,18,0,0,4,9,4.166666666666667,0,0,0,0,0,0,Fl Oz,"NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6",21O9RftI2vL.jpg,35.74,3.6038660797869797,0.18614583333333334
238044,9.0,1054,184,5,1,9,1,4.728260869565218,1,1,1,0,0,0,Ounce,Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4),41miQk+RkJL.jpg,31.8,3.490428515390098,3.533333333333333
254947,12.0,239,41,1,1,3,0,4.829268292682927,0,0,0,0,0,0,Ounce,Braswell's Key Lime Marinade for Sole 12oz,315YCWx0zrL.jpg,15.99,2.8326249356838407,1.3325
283223,160.0,153,26,1,0,5,0,4.884615384615385,0,0,1,0,0,1,Ounce,"Albanese Assorted Gummi Bears, Sugar Free, 5-Pound Bags (Pack of 2)",71qkXfh7y3S.jpg,33.5,3.5409593240373143,0.209375
21740,4.0,1470,240,9,1,19,23,5.125,1,0,0,1,0,1,Count,"KiZE Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars",41a5Wp9NKHL.jpg,6.98,2.0769384114617173,1.745
170292,192.0,287,47,0,1,4,0,5.1063829787234045,0,0,1,1,0,0,Fl Oz,"Smuckers Natural Peanut Butter Chunky, 16 OZ (Pack of 12)",31JwrRY9yqL.jpg,4.255,1.6591800043289144,0.02216145833333333
71500,336.0,416,61,5,0,9,2,5.819672131147541,0,1,1,0,0,0,Fl Oz,"BODYARMOR LYTE Sports Drink Low-Calorie Sports Beverage, Strawberry Banana, Coconut Water Hydration, Potassium-Packed Electrolytes, Perfect For Athletes, 28 Fl Oz (Pack of 12)",81lSX9agSyL.jpg,1.67,0.9820784724121582,0.004970238095238095
266475,102.0,65,11,0,0,2,0,4.909090909090909,0,0,0,1,0,0,Fl Oz,Organic Vinegar; Apple Cider,41SHfxsFz5L.jpg,81.44,4.412070756022258,0.7984313725490196
88520,10.0,83,15,0,0,5,0,4.533333333333333,0,0,1,0,0,0,Ounce,Himalania Pink Salt Fine Jar 10.0 OZ(Pack of 6),61-iuhdhkZL.jpg,56.72,4.05560373390567,5.672
125583,192.0,159,28,0,0,4,2,4.678571428571429,0,0,0,1,0,0,Ounce,"BUSH'S BEST 16 oz Canned Barbecue Baked Beans, Source of Plant Based Protein and Fiber, Low Fat, Gluten Free, (Pack of 12)",71B-6hQQDzL.jpg,5.47,1.8671761085128091,0.028489583333333332
271423,176.37,2855,439,5,1,12,0,5.503416856492027,0,0,1,1,0,0,Ounce,"BulkSupplements.com Trehalose Powder - Natural Sweetener, Trehalose Sugar Substitute - Vegan & Gluten Free, 5g per Serving, 5kg (11 lbs) (Pack of 5)",61S0ASqAujL.jpg,109.97,4.709259894512472,0.6235187390145717
